XRay_class_nr1;count
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
0.0;3427
